Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Species_Functional_Type,Species_Category,Phenophase_ID,Phenophase_Category,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Mean_AGDD,SE_AGDD,Mean_AGDD_in_F,SE_AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Mean_Accum_Prcp,SE_Accum_Prcp,Mean_Daylength,SE_Daylength
2317,42.267677,-70.921326,2,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2010,182,2455379,0,0,10,0,0,0,'',-9999,-9999,-9999,-9999,3.57,16.76,28.22,16.75,-4.73,5.93,17.15,7.34,358,566,296,381,-9999,-9999,-9999,-9999
2317,42.267677,-70.921326,2,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,201,Flowers,Open flowers (1 location),1,2010,226,2455423,-9999,-9999,28,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2819.75,-9999,5075.55,-9999,3.57,16.76,28.22,16.75,-4.73,5.93,17.15,7.34,358,566,296,381,935,-9999,49421,-9999
5096,43.009151,-73.649406,104,NY,26,Podophyllum,peltatum,mayapple,Plantae,Forb,-9999,201,Flowers,Open flowers (1 location),1,2010,130,2455327,-9999,-9999,7,-9999,-9999,1,2010,138,2455335,-9999,-9999,7,-9999,-9999,0,'',664.5,-9999,1196.1,-9999,0.68,17.74,28.1,15.74,-7.76,3.79,15.16,4.49,215,182,329,261,300,-9999,51494,-9999
5841,44.229458,-122.203674,643,OR,19,Linnaea,borealis,twinflower,Plantae,Evergreen forb,-9999,201,Flowers,Open flowers (1 location),1,2010,181,2455378,-9999,-9999,5,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1416.25,-9999,2549.25,-9999,7.07,12.82,24.74,15.13,0.11,2.14,9.23,4.32,551,678,230,523,1251,-9999,54950,-9999
5841,44.229458,-122.203674,643,OR,193,Trillium,ovatum,Pacific trillium,Plantae,Forb,-9999,201,Flowers,Open flowers (1 location),1,2010,109,2455306,-9999,-9999,19,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',608.75,-9999,1095.75,-9999,7.07,12.82,24.74,15.13,0.11,2.14,9.23,4.32,551,678,230,523,748,-9999,48384,-9999
5841,44.229458,-122.203674,643,OR,1059,Vaccinium,parvifolium,red huckleberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,1,2010,116,2455313,-9999,-9999,7,-9999,-9999,1,2010,131,2455328,-9999,-9999,8,-9999,-9999,0,'',666.25,-9999,1199.25,-9999,7.07,12.82,24.74,15.13,0.11,2.14,9.23,4.32,551,678,230,523,777,-9999,49421,-9999
5841,44.229458,-122.203674,643,OR,1151,Coptis,laciniata,Oregon goldthread,Plantae,Forb,-9999,201,Flowers,Open flowers (1 location),1,2010,77,2455274,-9999,-9999,28,-9999,-9999,1,2010,139,2455336,-9999,-9999,14,-9999,-9999,1,'25518',402,-9999,723.6,-9999,7.07,12.82,24.74,15.13,0.11,2.14,9.23,4.32,551,678,230,523,437,-9999,42509,-9999
2315,42.280136,-70.901215,0,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2011,191,2455753,0,0,18,0,0,0,'',-9999,-9999,-9999,-9999,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,-9999,-9999,-9999,-9999
2315,42.280136,-70.901215,0,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,2,2011,191,2455753,0,0,29,0,0,2,2011,191,2455753,0,0,18,0,0,0,'',1711.75,0,3081.15,0,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,683,0,53568,0
2315,42.280136,-70.901215,0,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,500,Flowers,Flowers or flower buds,2,2011,233,2455795,0,0,11,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2691.75,0,4845.15,0,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,853,0,48384,0
2315,42.280136,-70.901215,0,MA,314,Rosa,rugosa,rugosa rose,Plantae,Deciduous broadleaf,"Ornamental,Invasive Plants",500,Flowers,Flowers or flower buds,1,2011,222,2455784,-9999,-9999,13,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2449.25,-9999,4408.65,-9999,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,806,-9999,50112,-9999
2315,42.280136,-70.901215,0,MA,314,Rosa,rugosa,rugosa rose,Plantae,Deciduous broadleaf,"Ornamental,Invasive Plants",501,Flowers,Open flowers,1,2011,222,2455784,-9999,-9999,13,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2449.25,-9999,4408.65,-9999,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,806,-9999,50112,-9999
2315,42.280136,-70.901215,0,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2011,162,2455724,0,0,29,0,0,0,'',-9999,-9999,-9999,-9999,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,3,Acer,rubrum,red maple,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",502,Flowers,Pollen release (flowers),1,2011,211,2455773,-9999,-9999,6,-9999,-9999,1,2011,211,2455773,-9999,-9999,15,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2011,82,2455644,0,0,28,0,0,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2011,82,2455644,0,0,28,0,0,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,500,Flowers,Flowers or flower buds,1,2011,201,2455763,-9999,-9999,7,-9999,-9999,2,2011,197,2455759,4,5.65685424949,8,4,5.65685424949,1,'4883',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,2,2011,184,2455746,0,0,14,0,0,2,2011,197,2455759,4,5.65685424949,6,2,2.82842712475,1,'4883',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,199,Asclepias,syriaca,common milkweed,Plantae,Forb,Nectar Connectors Campaign,500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2011,198,2455760,3.5,4.94974746831,5.5,1.5,2.12132034356,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,199,Asclepias,syriaca,common milkweed,Plantae,Forb,Nectar Connectors Campaign,501,Flowers,Open flowers,1,2011,193,2455755,-9999,-9999,9,-9999,-9999,2,2011,197,2455759,4,5.65685424949,2.5,1.5,2.12132034356,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,500,Flowers,Flowers or flower buds,2,2011,246,2455808,0,0,20,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,501,Flowers,Open flowers,2,2011,257,2455819,10.5,14.8492424049,20.5,0.5,0.707106781187,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,314,Rosa,rugosa,rugosa rose,Plantae,Deciduous broadleaf,"Ornamental,Invasive Plants",500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2011,236,2455798,10,14.1421356237,20.5,0.5,0.707106781187,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,314,Rosa,rugosa,rugosa rose,Plantae,Deciduous broadleaf,"Ornamental,Invasive Plants",501,Flowers,Open flowers,2,2011,210,2455772,16,22.627416998,8,7,9.89949493661,2,2011,236,2455798,10,14.1421356237,20.5,0.5,0.707106781187,2,"'13626,13631'",-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,500,Flowers,Flowers or flower buds,2,2011,194,2455756,0,0,1,0,0,2,2011,203,2455765,8.5,12.0208152802,11,4,5.65685424949,2,"'8614,8616'",-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,501,Flowers,Open flowers,2,2011,184,2455746,0,0,14,0,0,2,2011,203,2455765,8.5,12.0208152802,11,4,5.65685424949,2,"'8614,8616'",-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,725,Lathyrus,japonicus,beach pea,Plantae,Forb,-9999,500,Flowers,Flowers or flower buds,1,2011,201,2455763,-9999,-9999,8,-9999,-9999,1,2011,201,2455763,-9999,-9999,25,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,725,Lathyrus,japonicus,beach pea,Plantae,Forb,-9999,501,Flowers,Open flowers,1,2011,201,2455763,-9999,-9999,8,-9999,-9999,1,2011,201,2455763,-9999,-9999,25,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,747,Solidago,sempervirens,seaside goldenrod,Plantae,Forb,Nectar Connectors Campaign,500,Flowers,Flowers or flower buds,2,2011,246,2455808,0,0,20,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,747,Solidago,sempervirens,seaside goldenrod,Plantae,Forb,Nectar Connectors Campaign,501,Flowers,Open flowers,2,2011,267,2455829,0,0,21,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2317,42.267677,-70.921326,2,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2011,177,2455739,0,0,20,0,0,0,'',-9999,-9999,-9999,-9999,3.01,14.11,26.75,17.68,-6.23,4.61,16.75,7.92,365,275,375,278,-9999,-9999,-9999,-9999
2317,42.267677,-70.921326,2,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2011,177,2455739,0,0,20,0,0,0,'',-9999,-9999,-9999,-9999,3.01,14.11,26.75,17.68,-6.23,4.61,16.75,7.92,365,275,375,278,-9999,-9999,-9999,-9999
2317,42.267677,-70.921326,2,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,500,Flowers,Flowers or flower buds,1,2011,179,2455741,-9999,-9999,2,-9999,-9999,1,2011,197,2455759,-9999,-9999,8,-9999,-9999,0,'',1441.75,-9999,2595.15,-9999,3.01,14.11,26.75,17.68,-6.23,4.61,16.75,7.92,365,275,375,278,666,-9999,54259,-9999
2317,42.267677,-70.921326,2,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,501,Flowers,Open flowers,1,2011,179,2455741,-9999,-9999,2,-9999,-9999,1,2011,197,2455759,-9999,-9999,8,-9999,-9999,0,'',1441.75,-9999,2595.15,-9999,3.01,14.11,26.75,17.68,-6.23,4.61,16.75,7.92,365,275,375,278,666,-9999,54259,-9999
5112,46.449905,-116.817596,1309,ID,33,Robinia,pseudoacacia,black locust,Plantae,Deciduous broadleaf,"Ornamental,Invasive Plants",500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2011,161,2455723,-9999,-9999,7,-9999,-9999,0,'',-9999,-9999,-9999,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,-9999,-9999,-9999,-9999
5112,46.449905,-116.817596,1309,ID,33,Robinia,pseudoacacia,black locust,Plantae,Deciduous broadleaf,"Ornamental,Invasive Plants",501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2011,161,2455723,-9999,-9999,7,-9999,-9999,0,'',-9999,-9999,-9999,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,-9999,-9999,-9999,-9999
5112,46.449905,-116.817596,1309,ID,36,Syringa,vulgaris,common lilac,Plantae,Deciduous broadleaf,"Ornamental,Calibration",205,Flowers,Open flowers (lilac),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2011,153,2455715,-9999,-9999,8,-9999,-9999,0,'',-9999,-9999,-9999,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,-9999,-9999,-9999,-9999
5112,46.449905,-116.817596,1309,ID,144,Achillea,millefolium,common yarrow,Plantae,Forb,-9999,500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2011,194,2455756,-9999,-9999,14,-9999,-9999,0,'',-9999,-9999,-9999,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,-9999,-9999,-9999,-9999
5112,46.449905,-116.817596,1309,ID,144,Achillea,millefolium,common yarrow,Plantae,Forb,-9999,501,Flowers,Open flowers,1,2011,161,2455723,-9999,-9999,8,-9999,-9999,1,2011,194,2455756,-9999,-9999,14,-9999,-9999,0,'',1161.75,-9999,2091.15,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,346,-9999,55987,-9999
5112,46.449905,-116.817596,1309,ID,154,Centaurea,solstitialis,yellow star-thistle,Plantae,Forb,Invasive Plants,500,Flowers,Flowers or flower buds,1,2011,186,2455748,-9999,-9999,18,-9999,-9999,1,2011,263,2455825,-9999,-9999,8,-9999,-9999,1,'14146',1613.75,-9999,2904.75,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,355,-9999,55642,-9999
5112,46.449905,-116.817596,1309,ID,154,Centaurea,solstitialis,yellow star-thistle,Plantae,Forb,Invasive Plants,501,Flowers,Open flowers,1,2011,186,2455748,-9999,-9999,18,-9999,-9999,1,2011,263,2455825,-9999,-9999,8,-9999,-9999,1,'14146',1613.75,-9999,2904.75,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,355,-9999,55642,-9999
5112,46.449905,-116.817596,1309,ID,155,Centaurea,stoebe,spotted knapweed,Plantae,Forb,"Invasive Plants,Calibration",500,Flowers,Flowers or flower buds,1,2011,243,2455805,-9999,-9999,7,-9999,-9999,1,2011,251,2455813,-9999,-9999,6,-9999,-9999,0,'',2864.75,-9999,5156.55,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,366,-9999,47347,-9999
5112,46.449905,-116.817596,1309,ID,155,Centaurea,stoebe,spotted knapweed,Plantae,Forb,"Invasive Plants,Calibration",501,Flowers,Open flowers,1,2011,208,2455770,-9999,-9999,14,-9999,-9999,1,2011,251,2455813,-9999,-9999,6,-9999,-9999,1,'9711',2064.5,-9999,3716.1,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,364,-9999,53568,-9999
5112,46.449905,-116.817596,1309,ID,184,Polygonum,cuspidatum,Japanese knotweed,Plantae,Forb,Invasive Plants,500,Flowers,Flowers or flower buds,1,2011,257,2455819,-9999,-9999,6,-9999,-9999,1,2011,271,2455833,-9999,-9999,15,-9999,-9999,0,'',3170.5,-9999,5706.9,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,366,-9999,44582,-9999
5112,46.449905,-116.817596,1309,ID,184,Polygonum,cuspidatum,Japanese knotweed,Plantae,Forb,Invasive Plants,501,Flowers,Open flowers,1,2011,257,2455819,-9999,-9999,6,-9999,-9999,1,2011,271,2455833,-9999,-9999,15,-9999,-9999,0,'',3170.5,-9999,5706.9,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,366,-9999,44582,-9999
5112,46.449905,-116.817596,1309,ID,217,Rosa,woodsii,Woods' rose,Plantae,Deciduous broadleaf,-9999,500,Flowers,Flowers or flower buds,1,2011,194,2455756,-9999,-9999,8,-9999,-9999,1,2011,194,2455756,-9999,-9999,14,-9999,-9999,0,'',1777.25,-9999,3199.05,-9999,5.17,14.84,29.22,17.29,-2.08,3.4,11.09,5.08,177,213,46,132,357,-9999,55296,-9999
5390,34.07391,-116.395889,1256,CA,440,Coleogyne,ramosissima,blackbrush,Plantae,Drought deciduous broadleaf,-9999,500,Flowers,Flowers or flower buds,1,2011,173,2455735,-9999,-9999,7,-9999,-9999,1,2011,173,2455735,-9999,-9999,7,-9999,-9999,0,'',2015.5,-9999,3627.9,-9999,13.38,20.22,31.85,22.94,1.48,5.46,16.14,8.9,220,16,15,23,92,-9999,51494,-9999
5393,34.074932,-116.398544,1257,CA,440,Coleogyne,ramosissima,blackbrush,Plantae,Drought deciduous broadleaf,-9999,500,Flowers,Flowers or flower buds,1,2011,173,2455735,-9999,-9999,7,-9999,-9999,2,2011,170,2455732,3.5,4.94974746831,16.5,9.5,13.4350288425,0,'',2015.5,-9999,3627.9,-9999,13.38,20.22,31.85,22.94,1.48,5.46,16.14,8.9,220,16,15,23,92,-9999,51494,-9999
